@RELATION auto-mpg
@ATTRIBUTE horsepower Numeric
@ATTRIBUTE weight Numeric
@ATTRIBUTE model_year Numeric
@ATTRIBUTE origin Numeric
@ATTRIBUTE mpg Numeric
@DATA
180.0,4955.0,71.0,1.0,12.0
155.0,4502.0,72.0,1.0,13.0
145.0,3988.0,73.0,1.0,13.0
140.0,4294.0,72.0,1.0,13.0
153.0,4129.0,72.0,1.0,14.0
110.0,3632.0,74.0,1.0,16.0
105.0,3439.0,71.0,1.0,16.0
180.0,4380.0,76.0,1.0,16.5
88.0,3139.0,71.0,1.0,18.0
130.0,3504.0,70.0,1.0,18.0
95.0,3264.0,75.0,1.0,19.0
90.0,3210.0,78.0,1.0,19.4
110.0,3365.0,78.0,1.0,19.9
139.0,3570.0,78.0,1.0,20.2
95.0,2833.0,70.0,1.0,22.0
83.0,2639.0,75.0,1.0,23.0
78.0,2592.0,75.0,1.0,23.0
88.0,2720.0,78.0,1.0,25.1
86.0,2790.0,82.0,1.0,27.0
80.0,2670.0,79.0,1.0,27.4
80.0,2164.0,72.0,1.0,28.0
90.0,2556.0,79.0,1.0,33.5
63.0,2215.0,81.0,1.0,34.7
120.0,3820.0,76.0,2.0,16.5
90.0,2430.0,70.0,2.0,24.0
110.0,2660.0,73.0,2.0,24.0
90.0,2265.0,73.0,2.0,26.0
80.0,3230.0,81.0,2.0,28.1
83.0,2219.0,74.0,2.0,29.0
70.0,1937.0,76.0,2.0,29.0
70.0,2074.0,71.0,2.0,30.0
48.0,2085.0,80.0,2.0,44.3
110.0,2720.0,77.0,3.0,21.5
97.0,2405.0,78.0,3.0,23.9
67.0,1950.0,74.0,3.0,31.0
67.0,1965.0,82.0,3.0,32.0
72.0,2290.0,80.0,3.0,32.4
