horsepower,weight,model_year,origin,mpg
180,4955,71,1,12
155,4502,72,1,13
145,3988,73,1,13
140,4294,72,1,13
153,4129,72,1,14
110,3632,74,1,16
105,3439,71,1,16
180,4380,76,1,16.5
88,3139,71,1,18
130,3504,70,1,18
95,3264,75,1,19
90,3210,78,1,19.4
110,3365,78,1,19.9
139,3570,78,1,20.2
95,2833,70,1,22
83,2639,75,1,23
78,2592,75,1,23
88,2720,78,1,25.1
86,2790,82,1,27
80,2670,79,1,27.4
80,2164,72,1,28
90,2556,79,1,33.5
63,2215,81,1,34.7
120,3820,76,2,16.5
90,2430,70,2,24
110,2660,73,2,24
90,2265,73,2,26
80,3230,81,2,28.1
83,2219,74,2,29
70,1937,76,2,29
70,2074,71,2,30
48,2085,80,2,44.3
110,2720,77,3,21.5
97,2405,78,3,23.9
67,1950,74,3,31
67,1965,82,3,32
72,2290,80,3,32.4
