@RELATION auto-mpg
@ATTRIBUTE horsepower Numeric
@ATTRIBUTE weight Numeric
@ATTRIBUTE model_year Numeric
@ATTRIBUTE origin Numeric
@ATTRIBUTE mpg Numeric
@DATA
193.0,4732.0,70.0,1.0,9.0
180.0,3664.0,73.0,1.0,11.0
150.0,4997.0,73.0,1.0,11.0
198.0,4952.0,73.0,1.0,12.0
160.0,4456.0,72.0,1.0,12.0
167.0,4906.0,73.0,1.0,12.0
180.0,4499.0,73.0,1.0,12.0
130.0,3870.0,76.0,1.0,13.0
175.0,3821.0,73.0,1.0,13.0
175.0,5140.0,71.0,1.0,13.0
175.0,4100.0,73.0,1.0,13.0
150.0,3940.0,76.0,1.0,13.0
190.0,4422.0,72.0,1.0,13.0
130.0,4098.0,72.0,1.0,13.0
150.0,4464.0,73.0,1.0,13.0
129.0,3169.0,75.0,1.0,13.0
170.0,4654.0,73.0,1.0,13.0
158.0,4363.0,73.0,1.0,13.0
145.0,4055.0,76.0,1.0,13.0
150.0,3755.0,76.0,1.0,13.0
140.0,4638.0,74.0,1.0,14.0
150.0,4457.0,74.0,1.0,14.0
175.0,4464.0,71.0,1.0,14.0
150.0,4257.0,74.0,1.0,14.0
148.0,4657.0,75.0,1.0,14.0
153.0,4154.0,71.0,1.0,14.0
150.0,4077.0,72.0,1.0,14.0
150.0,3672.0,73.0,1.0,14.0
137.0,4042.0,73.0,1.0,14.0
175.0,4385.0,72.0,1.0,14.0
150.0,4237.0,73.0,1.0,14.0
165.0,4209.0,71.0,1.0,14.0
152.0,4215.0,76.0,1.0,14.5
72.0,3158.0,75.0,1.0,15.0
150.0,3399.0,73.0,1.0,15.0
110.0,3730.0,75.0,1.0,15.0
150.0,3777.0,73.0,1.0,15.0
198.0,4341.0,70.0,1.0,15.0
170.0,3563.0,70.0,1.0,15.0
150.0,4135.0,72.0,1.0,15.0
100.0,3336.0,74.0,1.0,15.0
145.0,4440.0,75.0,1.0,15.0
150.0,3761.0,70.0,1.0,15.0
120.0,3962.0,76.0,1.0,15.5
170.0,4165.0,77.0,1.0,15.5
145.0,4140.0,77.0,1.0,15.5
105.0,3897.0,75.0,1.0,16.0
100.0,3781.0,74.0,1.0,16.0
170.0,4668.0,75.0,1.0,16.0
149.0,4335.0,77.0,1.0,16.0
140.0,4141.0,74.0,1.0,16.0
100.0,3278.0,73.0,1.0,16.0
150.0,4498.0,75.0,1.0,16.0
150.0,4190.0,76.0,1.0,16.0
180.0,4220.0,77.0,1.0,16.0
138.0,3955.0,79.0,1.0,16.5
155.0,4360.0,79.0,1.0,16.9
100.0,3329.0,71.0,1.0,17.0
130.0,3840.0,79.0,1.0,17.0
110.0,4060.0,77.0,1.0,17.0
140.0,3449.0,70.0,1.0,17.0
150.0,3672.0,72.0,1.0,17.0
140.0,4215.0,76.0,1.0,17.5
145.0,3880.0,77.0,1.0,17.5
95.0,3193.0,76.0,1.0,17.5
140.0,4080.0,78.0,1.0,17.5
129.0,3725.0,79.0,1.0,17.6
85.0,3465.0,81.0,1.0,17.6
165.0,3445.0,78.0,1.0,17.7
100.0,3288.0,71.0,1.0,18.0
100.0,2945.0,73.0,1.0,18.0
100.0,2789.0,73.0,1.0,18.0
97.0,2984.0,75.0,1.0,18.0
105.0,3613.0,74.0,1.0,18.0
88.0,3021.0,73.0,1.0,18.0
110.0,2962.0,71.0,1.0,18.0
105.0,3121.0,73.0,1.0,18.0
105.0,3459.0,75.0,1.0,18.0
97.0,2774.0,70.0,1.0,18.0
139.0,3205.0,78.0,1.0,18.1
120.0,3410.0,78.0,1.0,18.1
98.0,3525.0,77.0,1.0,18.5
150.0,3940.0,79.0,1.0,18.5
110.0,3620.0,78.0,1.0,18.6
90.0,3211.0,75.0,1.0,19.0
85.0,2310.0,73.0,1.0,19.0
88.0,3302.0,71.0,1.0,19.0
100.0,2634.0,71.0,1.0,19.0
100.0,3630.0,77.0,1.0,19.0
90.0,3381.0,80.0,1.0,19.1
125.0,3605.0,79.0,1.0,19.2
145.0,3425.0,78.0,1.0,19.2
105.0,3535.0,78.0,1.0,19.2
140.0,3735.0,78.0,1.0,19.4
85.0,2990.0,79.0,1.0,19.8
100.0,3651.0,76.0,1.0,20.0
100.0,2914.0,75.0,1.0,20.0
95.0,3102.0,74.0,1.0,20.0
110.0,3221.0,75.0,1.0,20.0
85.0,2965.0,78.0,1.0,20.2
88.0,3060.0,81.0,1.0,20.2
90.0,3265.0,79.0,1.0,20.2
100.0,3430.0,78.0,1.0,20.5
105.0,3425.0,77.0,1.0,20.5
95.0,3155.0,78.0,1.0,20.5
105.0,3380.0,78.0,1.0,20.6
110.0,3360.0,79.0,1.0,20.6
72.0,2401.0,73.0,1.0,21.0
85.0,2587.0,70.0,1.0,21.0
90.0,2648.0,70.0,1.0,21.0
110.0,3039.0,75.0,1.0,21.0
107.0,2472.0,73.0,1.0,21.0
115.0,3245.0,79.0,1.0,21.5
86.0,2395.0,72.0,1.0,22.0
72.0,2408.0,71.0,1.0,22.0
112.0,2835.0,82.0,1.0,22.0
105.0,3353.0,76.0,1.0,22.0
100.0,3233.0,76.0,1.0,22.0
88.0,2890.0,79.0,1.0,22.3
110.0,3415.0,81.0,1.0,22.4
90.0,3085.0,76.0,1.0,22.5
86.0,2220.0,71.0,1.0,23.0
95.0,2904.0,73.0,1.0,23.0
125.0,3900.0,79.0,1.0,23.0
110.0,2725.0,81.0,1.0,23.5
92.0,2865.0,82.0,1.0,24.0
81.0,3012.0,76.0,1.0,24.0
90.0,3003.0,80.0,1.0,24.3
88.0,2740.0,77.0,1.0,24.5
110.0,2945.0,82.0,1.0,25.0
