horsepower,weight,model_year,origin,mpg
193,4732,70,NorthAmerica,Low
180,3664,73,NorthAmerica,Low
150,4997,73,NorthAmerica,Low
198,4952,73,NorthAmerica,Low
160,4456,72,NorthAmerica,Low
167,4906,73,NorthAmerica,Low
180,4499,73,NorthAmerica,Low
130,3870,76,NorthAmerica,Low
175,3821,73,NorthAmerica,Low
175,5140,71,NorthAmerica,Low
175,4100,73,NorthAmerica,Low
150,3940,76,NorthAmerica,Low
190,4422,72,NorthAmerica,Low
130,4098,72,NorthAmerica,Low
150,4464,73,NorthAmerica,Low
129,3169,75,NorthAmerica,Low
170,4654,73,NorthAmerica,Low
158,4363,73,NorthAmerica,Low
145,4055,76,NorthAmerica,Low
150,3755,76,NorthAmerica,Low
140,4638,74,NorthAmerica,Low
150,4457,74,NorthAmerica,Low
175,4464,71,NorthAmerica,Low
150,4257,74,NorthAmerica,Low
148,4657,75,NorthAmerica,Low
153,4154,71,NorthAmerica,Low
150,4077,72,NorthAmerica,Low
150,3672,73,NorthAmerica,Low
137,4042,73,NorthAmerica,Low
175,4385,72,NorthAmerica,Low
150,4237,73,NorthAmerica,Low
165,4209,71,NorthAmerica,Low
152,4215,76,NorthAmerica,Low
72,3158,75,NorthAmerica,Low
150,3399,73,NorthAmerica,Low
110,3730,75,NorthAmerica,Low
150,3777,73,NorthAmerica,Low
198,4341,70,NorthAmerica,Low
170,3563,70,NorthAmerica,Low
150,4135,72,NorthAmerica,Low
100,3336,74,NorthAmerica,Low
145,4440,75,NorthAmerica,Low
150,3761,70,NorthAmerica,Low
120,3962,76,NorthAmerica,Low
170,4165,77,NorthAmerica,Low
145,4140,77,NorthAmerica,Low
105,3897,75,NorthAmerica,Low
100,3781,74,NorthAmerica,Low
170,4668,75,NorthAmerica,Low
149,4335,77,NorthAmerica,Low
140,4141,74,NorthAmerica,Low
100,3278,73,NorthAmerica,Low
150,4498,75,NorthAmerica,Low
150,4190,76,NorthAmerica,Low
180,4220,77,NorthAmerica,Low
138,3955,79,NorthAmerica,Low
155,4360,79,NorthAmerica,Low
100,3329,71,NorthAmerica,Low
130,3840,79,NorthAmerica,Low
110,4060,77,NorthAmerica,Low
140,3449,70,NorthAmerica,Low
150,3672,72,NorthAmerica,Low
140,4215,76,NorthAmerica,Low
145,3880,77,NorthAmerica,Low
95,3193,76,NorthAmerica,Low
140,4080,78,NorthAmerica,Low
129,3725,79,NorthAmerica,Low
85,3465,81,NorthAmerica,Low
165,3445,78,NorthAmerica,Low
100,3288,71,NorthAmerica,Low
100,2945,73,NorthAmerica,Low
100,2789,73,NorthAmerica,Low
97,2984,75,NorthAmerica,Low
105,3613,74,NorthAmerica,Low
88,3021,73,NorthAmerica,Low
110,2962,71,NorthAmerica,Low
105,3121,73,NorthAmerica,Low
105,3459,75,NorthAmerica,Low
97,2774,70,NorthAmerica,Low
139,3205,78,NorthAmerica,Low
120,3410,78,NorthAmerica,Low
98,3525,77,NorthAmerica,Low
150,3940,79,NorthAmerica,Medium
110,3620,78,NorthAmerica,Medium
